,Day,Date,Home/Away,Opponent,Score,W/L/T,Overtime,Location,Venue,Attendance,Notes,Team,Team Code
1,Sun,9/30/1928,A,Green Bay Packers,12-12,T,,"Green Bay, WI",City Stadium,8500,,Chicago Bears,chib
2,Sun,10/14/1928,H,New York Giants,13-0,W,,"Chicago, IL",Wrigley Field,14000,,Chicago Bears,chib
3,Sun,10/21/1928,H,Green Bay Packers,6-16,L,,"Chicago, IL",Wrigley Field,15000,,Chicago Bears,chib
4,Sun,10/28/1928,H,Detroit Wolverines,0-6,L,,"Chicago, IL",Wrigley Field,20000,,Chicago Bears,chib
5,Sun,11/4/1928,H,New York Yankees,27-0,W,,"Chicago, IL",Wrigley Field,10000,,Chicago Bears,chib
6,Sun,11/11/1928,H,Dayton Triangles,27-0,W,,"Chicago, IL",Wrigley Field,5000,,Chicago Bears,chib
7,Sun,11/18/1928,H,Pottsville Maroons,13-6,W,,"Chicago, IL",Wrigley Field,5000,,Chicago Bears,chib
8,Sun,11/25/1928,H,Detroit Wolverines,7-14,L,,"Chicago, IL",Wrigley Field,15000,,Chicago Bears,chib
9,Thu,11/29/1928,H,Chicago Cardinals,34-0,W,,"Chicago, IL",Wrigley Field,10000,,Chicago Bears,chib
10,Sun,12/2/1928,H,Frankford Yellow Jackets,28-6,W,,"Chicago, IL",Wrigley Field,12000,,Chicago Bears,chib
11,Sun,12/9/1928,H,Green Bay Packers,0-6,L,,"Chicago, IL",Wrigley Field,14000,,Chicago Bears,chib
12,Sat,12/15/1928,A,Frankford Yellow Jackets,0-19,L,,"Philadelphia, PA",Frankford Stadium,7000,,Chicago Bears,chib
0,Sun,9/30/1928,A,Pottsville Maroons,12-6,W,,"Minersville, PA",Minersville Park,7000,,New York Giants,nyg
1,Sun,10/7/1928,A,Green Bay Packers,6-0,W,,"Green Bay, WI",City Stadium,7000,,New York Giants,nyg
2,Sun,10/14/1928,A,Chicago Bears,0-13,L,,"Chicago, IL",Wrigley Field,14000,,New York Giants,nyg
3,Sun,10/21/1928,A,Detroit Wolverines,0-28,L,,"Detroit, MI",University of Detroit Stadium,12000,,New York Giants,nyg
4,Sun,10/28/1928,A,New York Yankees,10-7,W,,"New York, NY",Yankee Stadium,25000,,New York Giants,nyg
5,Sun,11/4/1928,H,Frankford Yellow Jackets,0-0,T,,"New York, NY",Polo Grounds,8000,,New York Giants,nyg
6,Tue,11/6/1928,H,Pottsville Maroons,13-7,W,,"New York, NY",Polo Grounds,15000,,New York Giants,nyg
7,Sun,11/11/1928,H,Detroit Wolverines,19-19,T,,"New York, NY",Polo Grounds,25000,,New York Giants,nyg
8,Sun,11/18/1928,H,Green Bay Packers,0-7,L,,"New York, NY",Polo Grounds,12000,,New York Giants,nyg
9,Sun,11/25/1928,A,Providence Steam Roller,0-16,L,,"Providence, RI",Providence Cycledrome,11987,,New York Giants,nyg
10,Sun,12/2/1928,H,New York Yankees,13-19,L,,"New York, NY",Polo Grounds,15000,,New York Giants,nyg
11,Sat,12/8/1928,A,Frankford Yellow Jackets,0-7,L,,"Philadelphia, PA",Frankford Stadium,3500,,New York Giants,nyg
12,Sun,12/16/1928,A,New York Yankees,6-7,L,,"New York, NY",Yankee Stadium,15000,,New York Giants,nyg
0,Sun,9/30/1928,A,Providence Steam Roller,7-20,L,,"Providence, RI",Providence Cycledrome,4000,,New York Yankees,nyy
1,Sun,10/7/1928,A,Pottsville Maroons,7-9,L,,"Minersville, PA",Minersville Park,5000,,New York Yankees,nyy
2,Sat,10/13/1928,A,Frankford Yellow Jackets,13-0,W,,"Philadelphia, PA",Frankford Stadium,6000,,New York Yankees,nyy
3,Sun,10/14/1928,H,Detroit Wolverines,12-35,L,,"New York, NY",Yankee Stadium,10000,,New York Yankees,nyy
4,Sun,10/21/1928,H,Providence Steam Roller,6-12,L,,"New York, NY",Yankee Stadium,7000,,New York Yankees,nyy
5,Sun,10/28/1928,H,New York Giants,7-10,L,,"New York, NY",Yankee Stadium,25000,,New York Yankees,nyy
6,Sun,11/4/1928,A,Chicago Bears,0-27,L,,"Chicago, IL",Wrigley Field,10000,,New York Yankees,nyy
7,Sun,11/11/1928,A,Green Bay Packers,0-0,T,,"Green Bay, WI",City Stadium,6000,,New York Yankees,nyy
8,Sun,11/18/1928,A,Detroit Wolverines,0-13,L,,"Detroit, MI",University of Detroit Stadium,8000,,New York Yankees,nyy
9,Sun,11/25/1928,H,Chicago Cardinals,19-0,W,,"New York, NY",Yankee Stadium,7000,,New York Yankees,nyy
10,Sun,12/2/1928,A,New York Giants,19-13,W,,"New York, NY",Polo Grounds,15000,,New York Yankees,nyy
11,Sun,12/9/1928,H,Detroit Wolverines,6-34,L,,"New York, NY",Yankee Stadium,3500,,New York Yankees,nyy
12,Sun,12/16/1928,H,New York Giants,7-6,W,,"New York, NY",Yankee Stadium,15000,,New York Yankees,nyy
0,Sun,9/30/1928,H,New York Giants,6-12,L,,"Minersville, PA",Minersville Park,7000,,Pottsville Maroons,pot
1,Sun,10/7/1928,H,New York Yankees,9-7,W,,"Minersville, PA",Minersville Park,5000,,Pottsville Maroons,pot
2,Sun,10/28/1928,A,Providence Steam Roller,6-13,L,,"Providence, RI",Providence Cycledrome,8000,,Pottsville Maroons,pot
3,Sun,11/4/1928,A,Green Bay Packers,14-26,L,,"Green Bay, WI",City Stadium,5000,,Pottsville Maroons,pot
4,Tue,11/6/1928,A,New York Giants,7-13,L,,"New York, NY",Polo Grounds,15000,,Pottsville Maroons,pot
5,Sat,11/10/1928,A,Frankford Yellow Jackets,0-19,L,,"Philadelphia, PA",Frankford Stadium,,,Pottsville Maroons,pot
6,Sun,11/11/1928,H,Frankford Yellow Jackets,0-24,L,,"Minersville, PA",Minersville Park,,,Pottsville Maroons,pot
7,Sun,11/18/1928,A,Chicago Bears,6-13,L,,"Chicago, IL",Wrigley Field,5000,,Pottsville Maroons,pot
8,Sun,11/25/1928,H,Green Bay Packers,26-0,W,,"Minersville, PA",Minersville Park,1600,,Pottsville Maroons,pot
9,Thu,11/29/1928,H,Providence Steam Roller,0-7,L,,"Minersville, PA",Minersville Park,10000,,Pottsville Maroons,pot
0,Sun,9/23/1928,H,Chicago Bears,0-15,L,,"Chicago, IL",Normal Park,4000,,Chicago Cardinals,chic
1,Sun,10/7/1928,H,Dayton Triangles,7-0,W,,"Chicago, IL",Normal Park,,,Chicago Cardinals,chic
2,Sun,10/14/1928,A,Green Bay Packers,0-20,L,,"Green Bay, WI",City Stadium,4200,,Chicago Cardinals,chic
3,Sun,11/4/1928,H,Green Bay Packers,,-,,"Chicago, IL",Normal Park,,Canceled,Chicago Cardinals,chic
4,Sat,11/24/1928,A,Frankford Yellow Jackets,0-19,L,,"Philadelphia, PA",Frankford Stadium,8000,,Chicago Cardinals,chic
5,Sun,11/25/1928,A,New York Yankees,0-19,L,,"New York, NY",Yankee Stadium,7000,,Chicago Cardinals,chic
6,Thu,11/29/1928,A,Chicago Bears,0-34,L,,"Chicago, IL",Wrigley Field,10000,,Chicago Cardinals,chic
0,Sat,9/29/1928,A,Frankford Yellow Jackets,0-6,L,,"Philadelphia, PA",Frankford Stadium,4000,,Dayton Triangles,day
