Year,Team,Totals,1st,2nd,3rd,4th,YDS,TOP,Rushing,Passing,Penalty,3RD DOWN EFFICIENCY,4TH DOWN EFFICIENCY,PEN,OT
1927,ham,Opponents Totals,3,6,20,28,,,,,,,,,
1927,jac,Team Totals,21,20,7,20,,,,,,,,,
1927,jac,Opponents Totals,41,39,8,46,,,,,,,,,
1927,lind,Team Totals,0,2,0,6,,,,,,,,,
1927,lind,Opponents Totals,42,39,6,36,,,,,,,,,
1928,lkc,Team Totals,32,43,21,32,,,,,,,,,
1928,lkc,Opponents Totals,0,13,13,16,,,,,,,,,
1928,har,Team Totals,39,63,32,41,,,,,,,,,
1928,har,Opponents Totals,18,34,20,12,,,,,,,,,
1928,llarm,Team Totals,55,21,33,80,,,,,,,,,
1928,llarm,Opponents Totals,25,32,13,6,,,,,,,,,
1928,min,Team Totals,21,47,13,39,,,,,,,,,
1928,min,Opponents Totals,26,20,26,20,,,,,,,,,
1928,larm,Team Totals,29,95,33,25,,,,,,,,,
1928,larm,Opponents Totals,9,13,19,44,,,,,,,,,
1928,bal,Team Totals,19,19,28,13,,,,,,,,,
1928,bal,Opponents Totals,21,35,13,67,,,,,,,,,
1928,lten,Team Totals,13,32,12,46,,,,,,,,,
1928,lten,Opponents Totals,48,36,35,60,,,,,,,,,
1928,dul,Team Totals,6,15,26,27,,,,,,,,,
1928,dul,Opponents Totals,30,64,20,20,,,,,,,,,
1928,atl,Team Totals,0,0,7,0,,,,,,,,,
1928,atl,Opponents Totals,16,47,13,31,,,,,,,,,
1928,ham,Team Totals,3,0,0,6,,,,,,,,,
1928,ham,Opponents Totals,24,41,33,33,,,,,,,,,
1929,lkc,Team Totals,38,33,66,61,,,,,,,,,
1929,lkc,Opponents Totals,2,0,14,6,,,,,,,,,
1929,har,Team Totals,81,92,71,68,,,,,,,,,
1929,har,Opponents Totals,22,22,16,26,,,,,,,,,
1929,llarm,Team Totals,35,53,18,33,,,,,,,,,
1929,llarm,Opponents Totals,32,44,20,32,,,,,,,,,
1929,min,Team Totals,24,54,33,43,,,,,,,,,
1929,min,Opponents Totals,13,20,21,29,,,,,,,,,
1929,larm,Team Totals,6,46,14,32,,,,,,,,,
1929,larm,Opponents Totals,14,19,28,12,,,,,,,,,
1929,bal,Team Totals,30,32,14,13,,,,,,,,,
1929,bal,Opponents Totals,27,19,9,14,,,,,,,,,
1929,lten,Team Totals,41,41,6,19,,,,,,,,,
1929,lten,Opponents Totals,27,27,19,44,,,,,,,,,
1929,dul,Team Totals,0,6,23,6,,,,,,,,,
1929,dul,Opponents Totals,22,50,6,12,,,,,,,,,
1929,atl,Team Totals,42,14,28,35,,,,,,,,,
1929,atl,Opponents Totals,45,41,95,46,,,,,,,,,
1929,ham,Team Totals,0,19,17,12,,,,,,,,,
1929,ham,Opponents Totals,25,79,13,25,,,,,,,,,
1929,jac,Team Totals,13,3,19,13,,,,,,,,,
1929,jac,Opponents Totals,41,30,45,42,,,,,,,,,
1929,lind,Team Totals,0,0,7,0,,,,,,,,,
1929,lind,Opponents Totals,27,46,30,33,,,,,,,,,
1930,lkc,Team Totals,58,64,52,60,,,,,,,,,
1930,lkc,Opponents Totals,0,40,25,46,,,,,,,,,
1930,har,Team Totals,34,122,59,93,,,,,,,,,
1930,har,Opponents Totals,6,27,20,45,,,,,,,,,
1930,llarm,Team Totals,40,39,39,51,,,,,,,,,
1930,llarm,Opponents Totals,0,45,19,7,,,,,,,,,
1930,min,Team Totals,25,67,41,21,,,,,,,,,
1930,min,Opponents Totals,6,25,3,25,,,,,,,,,
1930,larm,Team Totals,20,27,16,27,,,,,,,,,
1930,larm,Opponents Totals,13,40,34,38,,,,,,,,,
1930,bal,Team Totals,19,23,34,19,,,,,,,,,
1930,bal,Opponents Totals,26,31,27,28,,,,,,,,,
1930,lten,Team Totals,6,52,12,58,,,,,,,,,
1930,lten,Opponents Totals,22,46,26,38,,,,,,,,,
1930,dul,Team Totals,33,58,35,50,,,,,,,,,
1930,dul,Opponents Totals,40,52,27,42,,,,,,,,,
1930,atl,Team Totals,26,34,40,13,,,,,,,,,
1930,atl,Opponents Totals,78,96,60,87,,,,,,,,,
1930,ham,Team Totals,0,13,14,0,,,,,,,,,
1930,ham,Opponents Totals,50,40,48,27,,,,,,,,,
1930,jac,Team Totals,19,14,0,18,,,,,,,,,
1930,jac,Opponents Totals,39,71,53,27,,,,,,,,,
1931,lkc,Team Totals,78,87,47,79,,,,,,,,,
1931,lkc,Opponents Totals,21,31,22,13,,,,,,,,,
1931,har,Team Totals,16,56,44,59,,,,,,,,,
1931,har,Opponents Totals,13,30,15,19,,,,,,,,,
1931,llarm,Team Totals,27,25,37,56,,,,,,,,,
1931,llarm,Opponents Totals,7,41,19,25,,,,,,,,,
1931,min,Team Totals,14,58,14,34,,,,,,,,,
1931,min,Opponents Totals,13,19,58,38,,,,,,,,,
1931,larm,Team Totals,34,69,25,26,,,,,,,,,
1931,larm,Opponents Totals,28,12,18,42,,,,,,,,,
1931,bal,Team Totals,0,33,13,32,,,,,,,,,
1931,bal,Opponents Totals,55,40,0,32,,,,,,,,,
1931,lten,Team Totals,33,0,16,30,,,,,,,,,
1931,lten,Opponents Totals,15,38,19,46,,,,,,,,,
1931,dul,Team Totals,20,7,12,6,,,,,,,,,
1931,dul,Opponents Totals,27,60,6,44,,,,,,,,,
1931,atl,Team Totals,6,26,12,20,,,,,,,,,
1931,atl,Opponents Totals,40,71,44,44,,,,,,,,,
1931,ham,Team Totals,0,6,7,0,,,,,,,,,
1931,ham,Opponents Totals,9,31,26,39,,,,,,,,,
1932,lkc,Team Totals,40,49,26,45,,,,,,,,,
1932,lkc,Opponents Totals,6,15,0,16,,,,,,,,,
1932,har,Team Totals,36,35,34,47,,,,,,,,,
1932,har,Opponents Totals,7,22,10,24,,,,,,,,,
1932,llarm,Team Totals,13,54,13,36,,,,,,,,,
1932,llarm,Opponents Totals,21,20,7,23,,,,,,,,,
1932,min,Team Totals,20,14,2,19,,,,,,,,,
1932,min,Opponents Totals,36,27,10,6,,,,,,,,,
1932,larm,Team Totals,27,32,7,27,,,,,,,,,
1932,larm,Opponents Totals,33,42,6,32,,,,,,,,,
1932,bal,Team Totals,23,7,14,19,,,,,,,,,
1932,bal,Opponents Totals,27,28,13,63,,,,,,,,,
1932,lten,Team Totals,15,7,21,29,,,,,,,,,
1932,lten,Opponents Totals,32,27,36,19,,,,,,,,,
1932,dul,Team Totals,21,30,6,20,,,,,,,,,
1932,dul,Opponents Totals,26,47,41,59,,,,,,,,,
1933,lkc,Team Totals,52,48,50,94,,,,,,,,,
1933,lkc,Opponents Totals,3,38,26,34,,,,,,,,,
1933,har,Team Totals,23,24,26,20,,,,,,,,,
1933,har,Opponents Totals,7,17,20,10,,,,,,,,,
1933,llarm,Team Totals,21,20,31,31,,,,,,,,,
1933,llarm,Opponents Totals,14,23,33,27,,,,,,,,,
1933,min,Team Totals,6,14,28,29,,,,,,,,,
1933,min,Opponents Totals,38,29,19,72,,,,,,,,,
1933,larm,Team Totals,7,19,9,32,,,,,,,,,
1933,larm,Opponents Totals,45,41,53,69,,,,,,,,,
1933,bal,Team Totals,23,33,13,64,,,,,,,,,
1933,bal,Opponents Totals,21,26,7,28,,,,,,,,,
1933,lten,Team Totals,10,58,29,31,,,,,,,,,
1933,lten,Opponents Totals,24,16,6,41,,,,,,,,,
1933,dul,Team Totals,28,30,44,68,,,,,,,,,
1933,dul,Opponents Totals,10,27,32,28,,,,,,,,,
1933,atl,Team Totals,13,15,3,7,,,,,,,,,
1933,atl,Opponents Totals,14,31,19,46,,,,,,,,,
1933,ham,Team Totals,6,25,6,15,,,,,,,,,
1933,ham,Opponents Totals,13,28,24,26,,,,,,,,,
1934,lkc,Team Totals,43,31,37,36,,,,,,,,,
1934,lkc,Opponents Totals,23,18,30,36,,,,,,,,,
1934,har,Team Totals,27,15,52,13,,,,,,,,,
1934,har,Opponents Totals,17,29,21,27,,,,,,,,,
1934,llarm,Team Totals,17,13,10,21,,,,,,,,,
1934,llarm,Opponents Totals,44,21,61,27,,,,,,,,,
1934,min,Team Totals,26,33,38,30,,,,,,,,,
1934,min,Opponents Totals,16,34,9,26,,,,,,,,,
1934,larm,Team Totals,19,13,0,19,,,,,,,,,
1934,larm,Opponents Totals,44,39,71,52,,,,,,,,,
1934,bal,Team Totals,83,60,41,102,,,,,,,,,
